"","Precinct","President.Vice.President","count"
"270","324",0,2952
"271","324",1,2988
"272","325 A",0,29
"273","325 A",1,70
"274","326",0,656
"275","326",1,1552
"276","327",0,823
"277","327",1,1771
"278","328",0,825
"279","328",1,2366
"280","329 A",0,1253
"281","329 A",1,3050
"282","330",0,1131
"283","330",1,1510
"284","331",0,682
"285","331",1,1652
"286","332 A",0,318
"287","332 A",1,2194
"288","333",0,803
"289","333",1,1747
"290","334",0,1011
"291","334",1,1610
"292","335 A",0,674
"293","335 A",1,1457
"294","336",0,575
"295","336",1,1300
"296","337",0,1093
"297","337",1,2479
"298","338",0,1747
"299","338",1,2789
"300","339",0,430
"301","339",1,1176
"302","340",0,592
"303","340",1,2614
"304","341",0,100
"305","341",1,256
"306","342 A",0,601
"307","342 A",1,3501
"308","343",0,770
"309","343",1,1642
"310","344 A",0,285
"311","344 A",1,1220
"312","346",0,3101
"313","346",1,2025
"314","347",0,811
"315","347",1,1466
"316","349",0,1338
"317","349",1,3338
"318","350",0,821
"319","350",1,2824
"320","351",0,354
"321","351",1,1170
"322","352 A",0,558
"323","352 A",1,2372
"324","354",0,1306
"325","354",1,2631
"326","356",0,313
"327","356",1,1320
"328","357 A",0,189
"329","357 A",1,340
"330","358",0,867
"331","358",1,3111
"332","359",0,2419
"333","359",1,2557
"334","360",0,952
"335","360",1,2700
"336","361",0,486
"337","361",1,680
"338","362 A",0,629
"339","362 A",1,1844
"340","363",0,412
"341","363",1,940
"342","364",0,1105
"343","364",1,2049
"344","365",0,892
"345","365",1,1412
"346","366",0,1249
"347","366",1,3040
"348","367",0,1892
"349","367",1,4041
"350","368",0,199
"351","368",1,151
"352","369",0,2936
"353","369",1,2813
"354","370",0,835
"355","370",1,491
"356","371",0,1766
"357","371",1,1121
"358","372",0,972
"359","372",1,695
"360","373",0,3529
"361","373",1,1823
"362","374",0,2585
"363","374",1,2986
"364","375",0,464
"365","375",1,367
"366","401",0,586
"367","401",1,1404
"368","402",0,688
"369","402",1,2044
"370","403",0,398
"371","403",1,624
"372","404",0,874
"373","404",1,3406
"374","405",0,302
"375","405",1,1131
"376","406",0,984
"377","406",1,1669
"378","407",0,415
"379","407",1,2142
"380","408",0,712
"381","408",1,2287
"382","409 A",0,225
"383","409 A",1,1514
"384","410",0,408
"385","410",1,2220
"386","411",0,444
"387","411",1,1489
"388","412 A",0,19
"389","412 A",1,91
"390","413",0,285
"391","413",1,1396
"392","414",0,784
"393","414",1,2498
"394","415 A",0,219
"395","415 A",1,799
"396","416 A",0,128
"397","416 A",1,434
"398","417",0,379
"399","417",1,1442
"400","418 A",0,2
"401","418 A",1,1
"402","419 A",0,135
"403","419 A",1,304
"404","420 A",0,306
"405","420 A",1,2025
"406","421",0,357
"407","421",1,1971
"408","422 A",0,217
"409","422 A",1,1630
"410","423",0,409
"411","423",1,2486
"412","424",0,312
"413","424",1,1846
"414","425 A",0,114
"415","425 A",1,433
"416","426",0,256
"417","426",1,2228
"418","427",0,220
"419","427",1,1875
"420","428 A",0,421
"421","428 A",1,1043
"422","429",0,767
"423","429",1,4772
"424","430 A",0,113
"425","430 A",1,1013
"426","431",0,514
"427","431",1,4137
"428","432 A",1,2
"429","433",0,255
"430","433",1,1916
"431","435",0,1098
"432","435",1,3728
"433","436 A",0,18
"434","436 A",1,293
"435","437",0,226
"436","437",1,1745
"437","438 A",0,189
"438","438 A",1,1347
"439","439 A",0,282
"440","439 A",1,2820
"441","440 A",0,186
"442","440 A",1,770
"443","441",0,534
"444","441",1,2810
"445","442 A",0,195
"446","442 A",1,1038
"447","443 A",0,397
"448","443 A",1,2047
"449","444 A",0,19
"450","444 A",1,168
"451","446 A",0,105
"452","446 A",1,739
"453","447",0,505
"454","447",1,2620
"455","448",0,325
"456","448",1,1716
"457","450",0,688
"458","450",1,3051
"459","451 A",0,445
"460","451 A",1,2196
"461","452 A",0,250
"462","452 A",1,1282
"463","454 A",0,374
"464","454 A",1,1339
"465","458 A",0,618
"466","458 A",1,2495
"467","460 A",0,475
"468","460 A",1,2313
"469","461 A",0,652
"470","461 A",1,3755
"471","463",0,567
"472","463",1,2410
